condition,repeat_idx,order,segment_id,duration_s,chars,text,full_latency_ms,stt_latency_ms,audio_s_per_decode_s
combo1,0,0,rx-1789025521.864-2,9.674998998641968,62,어~ 다만 이 지명관리청은 백신 접종 그리고 사망관이 직접적인 연관성은 확인되지 않았다 이렇게 설명을 했습니다.,2713.4833335876465,2696.389856020687,3.588130617328557
combo1,0,1,rx-1789025532.115-3,4.640029191970825,62,어~ 다만 이 지명관리청은 백신 접종 그리고 산황관리 직접적인 연관성을 확인하지 않았다 이렇게 설명을 했습니다.,2689.0921592712402,2667.705213010777,1.739333555049765
combo1,0,2,rx-1789025537.331-4,4.639830589294434,62,어~ 다난 이 지명관리청은 백신 접종 그리고 사망관리 직접적인 연관성을 확인하지 않았다 이렇게 설명을 했습니다.,2716.982126235962,2691.869792994112,1.723645995571593
combo1,0,3,rx-1789025542.579-5,4.607815742492676,62,어~ 다난 이 지명관리청은 백신 접종 그리고 상황관리 직접적인 연관성은 확인되지 않았다 이렇게 설명을 했습니다.,2822.920560836792,2793.833909003297,1.6492804842992685
combo1,0,4,rx-1789025547.795-6,4.611052989959717,62,어~ 다난 이 치명관리청은 백신 접종 그리고 사망관이 직접적인 연관성은 확인되지 않았다 이렇게 설명을 했습니다.,2898.7674713134766,2865.692031016806,1.6090539178851053
combo1,0,5,rx-1789025553.011-7,4.639811754226685,62,어~ 다난 이 지명관리청은 백신 접종 그리고 산업관리 직접적인 연관성을 확인하지 않았다 이렇게 설명을 했습니다.,2723.207473754883,2694.4788540131412,1.721970000735458
combo1,1,0,rx-1789025573.132-2,9.673743486404419,62,어~ 다만 이 지명관리청은 백신 접종 그리고 사망관이 직접적인 연관성은 확인되지 않았다 이렇게 설명을 했습니다.,2772.733688354492,2755.3879769984633,3.5108462282478103
combo1,1,1,rx-1789025583.382-3,4.639746427536011,62,어~ 다만 이 지명관리청은 백신 접종 그리고 산황관리 직접적인 연관성을 확인하지 않았다 이렇게 설명을 했습니다.,2710.7226848602295,2689.597562974086,1.7250708772971601
combo1,1,2,rx-1789025588.598-4,4.639826774597168,62,어~ 다난 이 지명관리청은 백신 접종 그리고 사망관리 직접적인 연관성을 확인하지 않았다 이렇게 설명을 했습니다.,2775.345802307129,2750.3242719976697,1.6870108088116742
combo1,1,3,rx-1789025593.846-5,4.607731342315674,62,어~ 다난 이 지명관리청은 백신 접종 그리고 상황관리 직접적인 연관성은 확인되지 않았다 이렇게 설명을 했습니다.,2804.008722305298,2774.9587389989756,1.6604684161818721
combo1,1,4,rx-1789025599.062-6,4.607702016830444,62,어~ 다난 이 치명관리청은 백신 접종 그리고 사망관이 직접적인 연관성은 확인되지 않았다 이렇게 설명을 했습니다.,2847.511053085327,2834.3407130159903,1.6256697706351049
combo1,1,5,rx-1789025604.278-7,4.639887809753418,62,어~ 다난 이 지명관리청은 백신 접종 그리고 산업관리 직접적인 연관성을 확인하지 않았다 이렇게 설명을 했습니다.,2773.4529972076416,2747.9125059908256,1.6885136625121169
combo1,2,0,rx-1789025624.502-2,9.674649477005005,62,어~ 다만 이 지명관리청은 백신 접종 그리고 사망관이 직접적인 연관성은 확인되지 않았다 이렇게 설명을 했습니다.,2747.025728225708,2729.8522570054047,3.5440194436082444
combo1,2,1,rx-1789025634.753-3,4.639902830123901,62,어~ 다만 이 지명관리청은 백신 접종 그리고 산황관리 직접적인 연관성을 확인하지 않았다 이렇게 설명을 했습니다.,2695.1944828033447,2672.4840859824326,1.7361760372908732
combo1,2,2,rx-1789025639.969-4,4.640198230743408,62,어~ 다난 이 지명관리청은 백신 접종 그리고 사망관리 직접적인 연관성을 확인하지 않았다 이렇게 설명을 했습니다.,2750.9191036224365,2725.690864986973,1.7023934336609319
