condition,repeat_idx,order,segment_id,duration_s,chars,text,full_latency_ms,stt_latency_ms,audio_s_per_decode_s
combo1,0,0,rx-1789027597.946-2,9.674008131027222,62,어~ 다만 이 지명관리청은 백신 접종 그리고 사망관이 직접적인 연관성은 확인되지 않았다 이렇게 설명을 했습니다.,2749.8602867126465,2732.684252987383,3.5401119322334997
combo1,0,1,rx-1789027608.197-3,4.639796495437622,62,어~ 다만 이 지명관리청은 백신 접종 그리고 산황관리 직접적인 연관성을 확인하지 않았다 이렇게 설명을 했습니다.,2686.826229095459,2665.629357972648,1.7406007634033684
combo1,0,2,rx-1789027613.413-4,4.639796733856201,62,어~ 다난 이 지명관리청은 백신 접종 그리고 사망관리 직접적인 연관성을 확인하지 않았다 이렇게 설명을 했습니다.,2739.1505241394043,2714.0275170095265,1.7095614192477309
combo1,0,3,rx-1789027618.661-5,4.607287883758545,62,어~ 다난 이 지명관리청은 백신 접종 그리고 상황관리 직접적인 연관성은 확인되지 않았다 이렇게 설명을 했습니다.,2798.0575561523438,2768.9907789754216,1.6638870446016176
combo1,0,4,rx-1789027623.877-6,4.607678174972534,62,어~ 다난 이 치명관리청은 백신 접종 그리고 사망관이 직접적인 연관성은 확인되지 않았다 이렇게 설명을 했습니다.,2813.300848007202,2800.1551129855216,1.6455081911729648
combo1,0,5,rx-1789027629.093-7,4.6396636962890625,62,어~ 다난 이 지명관리청은 백신 접종 그리고 산업관리 직접적인 연관성을 확인하지 않았다 이렇게 설명을 했습니다.,2725.576877593994,2700.522737985011,1.7180613334701773
combo2,0,0,rx-1789027649.260-2,10.153910398483276,63,어~ 이 많은 분들이 좀 불안해하세요 이 독감 백신 접종 사환자가 계속 나오고 있습니다 지금까지 몇 명 나왔나요?,2780.19380569458,2762.502934987424,3.6756197685377305
combo2,0,1,rx-1789027660.119-3,5.1510186195373535,63,어~ 이 많은 분들이 좀 불안해하세요 이 독감 백신 접종 사환자가 계속 나오고 있습니다 지금까지 몇 명 나왔나요?,2699.204921722412,2678.081984980963,1.9233984054352873
combo2,0,2,rx-1789027665.910-4,5.151801347732544,65,어~ 이 많은 분들이 좀 불안해하세요 이 독감 백신 접종 산후 인자가 계속 나오고 있습니다 지금까지 몇 명 나왔나요?,2760.6186866760254,2731.541044980986,1.8860420776757558
combo2,0,3,rx-1789027671.734-5,5.151856899261475,63,어~ 이 많은 분들이 좀 불안해하세요 이 독감 백신 접종 사환자가 계속 나오고 있습니다 지금까지 몇 명 나왔나요?,2718.294382095337,2693.080672994256,1.9129976130768744
combo2,0,4,rx-1789027677.526-6,5.151800155639648,63,어~ 이 많은 분들이 좀 불안해하세요 이 독감 백신 접종 사환자가 계속 나오고 있습니다 지금까지 몇 명 나왔나요?,2716.991186141968,2702.5093519769143,1.9063024340215704
combo3,0,0,rx-1789027698.348-2,9.674084186553955,62,어~ 다만 이 지명관리청은 백신 접종 그리고 사망관이 직접적인 연관성은 확인되지 않았다 이렇게 설명을 했습니다.,2720.2308177948,2703.2121919910423,3.578736517693988
combo3,0,1,rx-1789027708.054-3,4.639931917190552,62,어~ 다만 이 지명관리청은 백신 접종 그리고 사망관이 직접적인 연관성을 확인하지 않았다 이렇게 설명을 했습니다.,2667.0188903808594,2641.962643014267,1.756244332015521
combo3,0,2,rx-1789027712.726-4,4.640005350112915,62,어~ 다만 이 지명관리청은 백신 접종 그리고 사망관이 직접적인 연관성을 확인하지 않았다 이렇게 설명을 했습니다.,2669.5902347564697,2656.387677998282,1.7467350072973482
combo3,0,3,rx-1789027717.402-5,4.635729074478149,63,어~ 단 한 이 지명관리청은 백신 접종 그리고 산업관리 직접적인 연관성을 확인하지 않았다 이렇게 설명을 했습니다.,2715.8353328704834,2694.710893993033,1.720306651378437
combo3,0,4,rx-1789027722.070-6,4.639958143234253,64,어~ 다난 이 지명 관리청은 백신 접종 그리고 산업 관리 직접적인 연관성을 확인하지 않았다 이렇게 설명을 했습니다.,2813.4734630584717,2784.384308994049,1.6664215956994066
combo3,0,5,rx-1789027726.742-7,4.640056133270264,64,어~ 단 한 이 지명관리청은 백신 접종 그리고 산업 관리 직접적인 연관성을 확인하지 않았다 이렇게 설명을 했습니다.,2685.8274936676025,2668.75781599083,1.7386576277051764
combo4,0,0,rx-1789027746.492-2,10.153757095336914,63,어~ 이 많은 분들이 좀 불안해하세요 이 독감 백신 접종 사환자가 계속 나오고 있습니다 지금까지 몇 명 나왔나요?,2730.8831214904785,2713.1707289954647,3.7423951934997772
combo4,0,1,rx-1789027756.742-3,5.15176248550415,59,많은 분들이 좀 불안해하세요. 독감 백신 접종 4번 자가 계속 나오고 있습니다. 지금까지 몇 명 나왔나요?,2591.1736488342285,2562.1504410228226,2.0107181854034857
combo4,0,2,rx-1789027761.926-4,5.152154207229614,63,어~ 이 많은 분들이 좀 불안해하세요 이 독감 백신 접종 사항제가 계속 나오고 있습니다 지금까지 몇 명 나왔나요?,2729.7801971435547,2704.1217100049835,1.905296713593605
combo4,0,3,rx-1789027767.110-5,5.151897192001343,63,어~ 이 많은 분들이 좀 불안해하세요 이 독감 백신 접종 사환자가 계속 나오고 있습니다 지금까지 몇 명 나왔나요?,2744.061231613159,2722.5346159830224,1.8923165060074556
combo4,0,4,rx-1789027772.326-6,5.1519763469696045,58,많은 분들이 좀 불안해하세요. 독감 백신 접종 사환자가 계속 나오고 있습니다. 지금까지 몇 명 나왔나요?,2623.361825942993,2597.85551999812,1.9831650787774882
combo4,0,5,rx-1789027777.510-7,5.152012586593628,63,어~ 이 많은 분들이 좀 불안해하세요 이 독감 백신 접종 사환자가 계속 나오고 있습니다 지금까지 몇 명 나왔나요?,2706.7182064056396,2685.4694380017463,1.918477460099949
combo5,0,0,rx-1789027797.777-2,8.921558141708374,61,어~ 이 많은 분들이 좀 불안해하세요 독감 백신 접종 사훈제가 계속 나오고 있습니다 지금까지 몇 명 나왔나요?,2573.2264518737793,2551.633803988807,3.49641007567852
combo5,0,1,rx-1789027806.731-3,3.8394534587860107,60,많은 분들이 좀 불안해하세요. 독감 백신 접종 사후 문제가 계속 나오고 있습니다. 지금까지 몇 명 나왔나요?,2553.957462310791,2524.9087550037075,1.5206305777098756
combo5,0,2,rx-1789027810.602-4,3.8721139430999756,61,어~ 이 많은 분들이 좀 불안해하세요 독감 백신 접종 사훈제가 계속 나오고 있습니다 지금까지 몇 명 나왔나요?,2549.6344566345215,2524.64570698794,1.5337256757977538
combo5,0,3,rx-1789027814.506-5,3.839980363845825,60,많은 분들이 좀 불안해하세요. 독감 백신 접종 사후 문제가 계속 나오고 있습니다. 지금까지 몇 명 나왔나요?,2528.277635574341,2515.277790982509,1.5266625331056836
combo5,0,4,rx-1789027818.379-6,3.903714656829834,58,많은 분들이 좀 불안해하세요. 독감 백신 접종 사훈제가 계속 나오고 있습니다. 지금까지 몇 명 나왔나요?,2459.3605995178223,2442.3287690151483,1.5983575619935801
